Speed,Torque,Inj Pressure,Inj Duration,SOI,Inj Mass,Final Torque,AreaFault
1000,100,5885776.987,1.2,365.3735354,3.193251507,99.75999855,0.5
1000,150,7699714.04,1.2,364.8345362,4.180502638,149.7604248,0.5
1000,200,10923513.55,1.2,364.8658804,5.222289046,199.7434651,0.5
1000,250,13235550.55,1.2,365.4557539,6.296776974,249.7906179,0.5
1000,300,14862759.45,1.2,365.4774055,7.416019909,299.8209219,0.5
1000,350,16194081.24,1.2,364.9255587,8.56909943,349.8398416,0.5
1000,400,17407344.77,1.2,365.5610408,9.76663187,399.7549079,0.5
1000,450,18525174.27,1.2,364.8986638,11.0202358,449.7592439,0.5
1000,500,19674219.12,1.2,365.2428128,12.41436136,499.7787949,0.5
1100,100,6102364.404,1.2,363.7401681,3.649378685,99.91681307,0.5
1100,150,8568265.602,1.2,364.5813105,4.752103282,149.7851087,0.5
1100,200,1.16E+07,1.2,366.0026,5.8677,199.7307,0.5
1100,250,13487564.36,1.2,364.2825264,7.007140056,249.7232184,0.5
1100,300,14970701.24,1.2,364.5773219,8.190873237,299.7521589,0.5
1100,350,16230690.88,1.2,364.3554475,9.421344204,349.8103944,0.5
1100,400,1.74E+07,1.2,364.9225,10.7024,399.7132,0.5
1100,450,1.85E+07,1.2,363.7836,12.0673,449.7913,0.5
1100,500,1.97E+07,1.2,364.7569907,13.7218701,499.7840079,0.5
1200,100,6.40E+06,1.2,361.402796,4.117004342,99.74520124,0.5
1200,150,9322387.068,1.2,360.2860691,5.373171702,149.7810566,0.5
1200,200,11848011.13,1.2,364.2255863,6.550224449,199.7223715,0.5
1200,250,13718553.02,1.2,363.4717907,7.783377071,249.7134801,0.5
1200,300,15102562.11,1.2,362.9849573,9.06166724,299.8214598,0.5
1200,350,16315094.04,1.2,363.4071271,10.38800769,350.0693597,0.5
1200,400,17327178.52,1.2,362.6334298,11.77773349,399.7414534,0.5
1200,450,18589324.41,1.2,366.2123705,13.50121867,449.8210543,0.5
1200,500,19829102.04,1.2,361.8514365,15.23481072,499.7626767,0.5
1300,100,6419408.641,1.2,361.1509391,4.590265634,99.7035786,0.5
1300,150,9592784.22,1.2,362.9653866,5.997306506,149.7207609,0.5
1300,200,12171895.42,1.2,362.7616197,7.30831184,199.744014,0.5
1300,250,13882913.11,1.2,361.2548681,8.657677449,249.9226461,0.5
1300,300,15107721.89,1.2,362.0210765,10.02142525,299.9006578,0.5
1300,350,16284139.35,1.2,362.4128537,11.4475091,349.8143102,0.5
1300,400,17502643,1.2,361.5608773,12.9810366,399.7181743,0.5
1300,450,18656130.26,1.2,358.8187512,14.82723575,450.080777,0.5
1300,500,20025047.11,1.2,361.7596997,16.97903658,499.7692954,0.5
1400,100,7243097.819,1.2,355.1618826,5.163979801,99.78020539,0.5
1400,150,10136234.07,1.2,361.4939926,6.718082796,149.74441,0.5
1400,200,12437913.04,1.2,361.8756057,8.137435309,199.7126907,0.5
1400,250,14001003.04,1.2,362.1200401,9.573776749,249.7229181,0.5
1400,300,15318224.44,1.2,359.9321149,11.07649332,299.873132,0.5
1400,350,16424926.34,1.2,361.4251573,12.59017021,349.7588824,0.5
1400,400,1.76E+07,1.2,363.7709206,14.37297108,400.1679908,0.5
